"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000108936766555812,4.38608756848646e-05,0.0824522905664675,1.67399577781732,0.195743634616476,1,16545.0648713863,-33084.1297427726,-33061.2098098764,104.457112075033,15365,15367,"AL"
2,0.000144431305587747,-0.000509069066108037,0.136077141241927,0.22101181857476,0.638337043562811,1,882.811895846135,-1759.62379169227,-1743.62080364137,28.3309922039201,1530,1532,"AK"
4,0.000125688561173312,5.8735681071731e-05,0.0801962145933365,1.87726892379221,0.170665473934481,1,16495.4287533847,-32984.8575067693,-32962.0229177136,96.0470179593906,14934,14936,"AZ"
5,0.00176070947504562,0.00163315525954277,0.0620022402121188,13.8036165100863,0.000204358714882285,1,10659.9668078449,-21313.9336156898,-21293.0372287043,30.0853179948803,7826,7828,"AR"
6,0.000270361842344251,0.000260152185092011,0.0769288295274596,26.480991051877,2.66656546291384e-07,1,112213.349232057,-224420.698464114,-224392.222684547,579.494948036567,97920,97922,"CA"
8,5.13640553220395e-05,-1.28710982685298e-05,0.0642328296269604,0.799625321197424,0.37121924069412,1,20650.2005866069,-41294.4011732137,-41271.4420621037,64.2272066081612,15567,15569,"CO"
9,0.0127139317387307,0.0126135059358355,0.0706488330862386,126.600249858266,3.42558523698007e-29,1,12106.3587471533,-24206.7174943067,-24185.1369962423,49.0690536272925,9831,9833,"CT"
10,0.0020145868012665,0.00148175956517549,0.0483765021710115,3.78093810677847,0.0519891146367138,1,3019.38030048586,-6032.76060097171,-6016.1515091565,4.38335560739143,1873,1875,"DE"
11,0.00493001762078616,0.00424986042162068,0.12818768473242,7.24835027378153,0.00717757677098803,1,931.746342058834,-1857.49268411767,-1841.62385255331,24.0401367224562,1463,1465,"DC"
12,4.85490565479142e-07,-2.45589511811417e-05,0.080472867045742,0.01938516220033,0.88926862456653,1,43960.9050946229,-87915.8101892458,-87890.025464515,258.575505576997,39929,39931,"FL"
13,0.00109769781220575,0.00105689797957942,0.0772825181968565,26.9044685124581,2.15465375516753e-07,1,27946.9295967835,-55887.859193567,-55863.5417456746,146.226862672242,24483,24485,"GA"
15,0.000135841116788623,-0.000184217832917888,0.0850407514316246,0.424425303254847,0.514785043366875,1,3269.81530486276,-6533.63060972552,-6515.48808119258,22.592547458269,3124,3126,"HI"
16,0.000761361363138523,0.000572039908300015,0.068151203436737,4.0215271100075,0.0449739784519991,1,6691.22445532557,-13376.4489106511,-13356.733866521,24.5141277046829,5278,5280,"ID"
17,0.00078211241389173,0.000743649890792786,0.0642181030931173,20.3344021888742,6.5305150859284e-06,1,34465.617413039,-68925.234826078,-68900.739463736,107.136480626772,25979,25981,"IL"
18,0.000980309139645105,0.000920473269325206,0.0528898849681244,16.3833020962972,5.19722162306124e-05,1,25392.05626562,-50778.11253124,-50754.9433985478,46.7043875036942,16696,16698,"IN"
19,0.00195319433411369,0.00185402434149984,0.0784864036312884,19.6954167549339,9.17852106137286e-06,1,11334.2223090699,-22662.4446181398,-22640.7938620777,61.9954029452536,10064,10066,"IA"
20,0.000428990020646942,0.000289150763514767,0.049406455349286,3.0677366960129,0.0799034707453843,1,11360.4600733798,-22714.9201467597,-22694.2955438526,17.4482524901337,7148,7150,"KS"
21,0.008450835489162,0.00836396417634344,0.045610492032755,97.279932983334,7.42760690171772e-23,1,19050.6391781413,-38095.2783562826,-38073.2500428051,23.7447380493266,11414,11416,"KY"
22,0.000129559959172307,4.42613377730217e-05,0.0503320816514913,1.51889862986225,0.217810957799743,1,18409.7208326388,-36813.4416652776,-36791.3334853722,29.6955587932111,11722,11724,"LA"
23,0.000579050510315897,0.000256552624065653,0.133048624350126,1.79551722663533,0.180353626377937,1,1855.71489673549,-3705.42979347097,-3687.31135371367,54.8583010320871,3099,3101,"ME"
24,0.000366360294072817,0.000298625259535168,0.0793271612134944,5.40872676265395,0.0200498060964292,1,16461.885842944,-32917.7716858879,-32894.9726575934,92.8691203543775,14758,14760,"MD"
25,0.00122082717907367,0.00112418671726233,0.0716471418437853,12.6326712040766,0.000380755028241529,1,12581.7853187175,-25157.5706374351,-25135.8401825234,53.0527891768533,10335,10337,"MA"
26,0.00121161919275974,0.00117129994599685,0.0780812197383026,30.0506405759209,4.25014022592265e-08,1,28022.0584108596,-56038.1168217191,-56013.7641717338,151.02687956784,24772,24774,"MI"
27,0.008510610131034,0.0084398803985567,0.0905011657799592,120.325778607274,6.96887173569679e-28,1,13789.0253421182,-27572.0506842364,-27549.4059637546,114.813882403579,14018,14020,"MN"
28,0.000660900487101737,0.000561136176478461,0.0782935293813633,6.62461839282077,0.0100721102369811,1,11305.9566337697,-22605.9132675394,-22584.2765518317,61.4029753345349,10017,10019,"MS"
29,0.00236099105261138,0.00228691078165666,0.0906469711422244,31.8707129736887,1.68110811876896e-08,1,13225.4598976281,-26444.9197952563,-26422.3953571735,110.65663377155,13467,13469,"MO"
30,0.00349199807430305,0.00316191923961406,0.0632668657203517,10.5792850292706,0.00115620999200687,1,4053.53589223435,-8101.0717844687,-8083.03175492454,12.0841401238945,3019,3021,"MT"
31,0.00023173906859659,-6.98305674529109e-06,0.0283709335418427,0.970748179561494,0.324550572278277,1,8982.06240731988,-17958.1248146398,-17939.103446601,3.37096253570934,4188,4190,"NE"
32,0.00327450795441284,0.00316286755431816,0.0527238519674056,29.3308511223076,6.26021346064455e-08,1,13608.076839027,-27210.153678054,-27188.8621630324,24.8180951677558,8928,8930,"NV"
33,0.000626937419410121,0.0003748251432798,0.0640685233887282,2.48673896024821,0.114889185196859,1,5271.27312022501,-10536.54624045,-10517.6897005228,16.2713308320364,3964,3966,"NH"
34,0.00150452223894806,0.00143248071818602,0.0641202634746788,20.8840988229396,4.92142020416011e-06,1,18410.5166269118,-36815.0332538236,-36792.4225341362,56.9841174865424,13860,13862,"NJ"
35,0.00395507295040153,0.00377384206847853,0.0929900583843052,21.8233940509035,3.06058022187106e-06,1,5258.87039948857,-10511.7407989771,-10491.904379971,47.5247416669074,5496,5498,"NM"
36,7.86022390328769e-05,5.07671083990191e-05,0.0867013978531346,2.82385019372596,0.0928820762139616,1,36872.5066353002,-73739.0132706004,-73713.5457044676,270.037946834745,35923,35925,"NY"
37,4.65846474421083e-05,1.94586277391107e-06,0.0751106182226096,1.04359130268358,0.306998730406907,1,26209.257335534,-52412.5146710681,-52388.4638205958,126.3775929281,22401,22403,"NC"
38,0.0249135186859966,0.0244114144216742,0.0612745169146151,49.6182176815813,2.58275994453019e-12,1,2670.99256410998,-5335.98512821997,-5319.2676192649,7.29136799369799,1942,1944,"ND"
39,0.00155127222091532,0.00151299988391052,0.0721016390142083,40.5324665887031,1.96592323080608e-10,1,31589.2058355846,-63172.4116711691,-63147.9037490347,135.622285940586,26088,26090,"OH"
40,0.0050774532898351,0.0049919421126362,0.0670621017757612,59.3776563035727,1.40699152150888e-14,1,14933.5712962115,-29861.142592423,-29839.0567575546,52.3263821294681,11635,11637,"OK"
41,0.000467239575743187,0.000376759557600304,0.0757772180771559,5.16400842233938,0.0230787470166748,1,12829.0995891712,-25652.1991783425,-25630.2688927271,63.4339373532783,11047,11049,"OR"
42,1.31952347689532e-06,-2.95094274269658e-05,0.0663935460864365,0.0428014394975579,0.83610090149128,1,41951.6627746018,-83897.3255492037,-83872.1641991588,142.985635776181,32437,32439,"PA"
44,0.0036910205841653,0.00318166016524102,0.0219676926029325,7.24638281074253,0.00716494978885448,1,4698.72004729602,-9391.44009459203,-9374.70105812276,0.943925537788808,1956,1958,"RI"
45,0.000243806269288312,0.000163317082126913,0.0743643244611353,3.0290561737153,0.0818103431307959,1,14658.1577283695,-29310.315456739,-29288.0335421224,68.6887852395603,12421,12423,"SC"
46,0.0622941862357395,0.0618497758974627,0.0401518777243942,140.172675724131,2.34289935449291e-31,1,3794.4640756185,-7582.928151237,-7565.96197930252,3.40168563091682,2110,2112,"SD"
47,1.55858908057152e-05,-3.36792788715456e-05,0.0734777031898571,0.316367342441261,0.573805172824433,1,24195.2453431697,-48384.4906863393,-48360.7355578442,109.58835123522,20298,20300,"TN"
48,0.00379133495528793,0.00377516194905325,0.0758804752807535,234.423637773106,8.09288143166865e-53,1,71434.7323271076,-142863.464654215,-142836.379451468,354.666072636529,61597,61599,"TX"
49,0.000872160675805996,0.000745592669810891,0.0395817936446347,6.89084629997839,0.00868052315157081,1,14296.2935052288,-28586.5870104577,-28565.6646757143,12.3676749558701,7894,7896,"UT"
50,0.0193836302356024,0.0187174506365777,0.0913030432818239,29.0967034475082,8.01230012372822e-08,1,1437.60916970969,-2869.21833941938,-2853.33113420113,12.2709536888333,1472,1474,"VT"
51,0.000949094568721333,0.000898417339065816,0.0903873560575984,18.7282251845768,1.51476826660637e-05,1,19415.5888375872,-38825.1776751744,-38801.5101178709,161.060898699028,19714,19716,"VA"
53,1.31054550124216e-05,-3.52287754745717e-05,0.0843832405035946,0.271142312195365,0.602572099571162,1,21797.8912947147,-43589.7825894295,-43565.9702271232,147.316671608214,20689,20691,"WA"
54,0.0065496738592536,0.00634852983695355,0.102431498651917,32.5621103941039,1.22175822762822e-08,1,4248.3948585815,-8490.789717163,-8471.27374810647,51.8210346535078,4939,4941,"WV"
55,0.000214760860370833,0.000162118419388402,0.0863177246486458,4.07961440166174,0.0434175774620214,1,19579.669270618,-39153.338541236,-39129.7829059796,141.504636185161,18992,18994,"WI"
56,0.00190575081056168,0.00125931671134571,0.0769507868128375,2.94809759088067,0.0861792614170149,1,1772.1765686096,-3538.35313721919,-3522.32285853175,9.1426780246812,1544,1546,"WY"
