"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00206727909050579,0.0020023306543907,0.0774803086095544,31.8295437759298,1.71281531164449e-08,1,17500.830930646,-34995.661861292,-34972.7419283958,92.2391406845914,15365,15367,"AL"
2,0.000292402623148225,-0.000361001035267927,0.10354598264943,0.447506865598162,0.5036222092062,1,1301.36371625936,-2596.72743251873,-2580.72444446782,16.4043088999391,1530,1532,"AK"
4,4.96252954793574e-05,-1.73326779171479e-05,0.0756747152981665,0.741140942026964,0.389309459852938,1,17362.1980127895,-34718.3960255789,-34695.5614365233,85.521978304538,14934,14936,"AZ"
5,0.00158257416955003,0.00145499719206077,0.0692830445633342,12.4048570572543,0.000430659252055514,1,9790.82637715974,-19575.6527543195,-19554.7563673339,37.5658977057897,7826,7828,"AR"
6,0.00027622333928646,0.000266013741894167,0.109627494616549,27.0552626779324,1.98117964138421e-07,1,77528.6420487473,-155051.284097495,-155022.808317927,1176.82092743227,97920,97922,"CA"
8,0.00208973982743615,0.00202563561595215,0.105274903896424,32.5991035387021,1.15332997690851e-08,1,12958.1708519469,-25910.3417038938,-25887.3825927837,172.526031512377,15567,15569,"CO"
9,0.00277633272247888,0.0026748960764329,0.121327122626044,27.3701155420874,1.71467657444811e-07,1,6788.97915305185,-13571.9583061037,-13550.3778080394,144.714981101435,9831,9833,"CT"
10,9.63213481185946e-06,-0.000524265552249048,0.0933896748132827,0.01804116227752,0.893166030492023,1,1786.06794875892,-3566.13589751783,-3549.52680570262,16.3356155405216,1873,1875,"DE"
11,0.0165207265181117,0.0158484918814188,0.107886676493825,24.5758335205451,7.97705610297746e-07,1,1184.3329874749,-2362.6659749498,-2346.79714338544,17.028639653624,1463,1465,"DC"
12,8.91665813023509e-05,6.4124360525053e-05,0.093701159882877,3.56064991580177,0.05917181756968,1,37883.7864157159,-75761.5728314319,-75735.7881067012,350.572921113058,39929,39931,"FL"
13,6.48804267576755e-05,2.40384090484103e-05,0.0993953658092556,1.58857055544374,0.207542492627668,1,21785.5801155771,-43565.1602311542,-43540.8427832618,241.878298778062,24483,24485,"GA"
15,1.16349746490077e-05,-0.000308463733745823,0.114883806575917,0.0363480837125327,0.848810843667942,1,2329.54367113512,-4653.08734227025,-4634.9448137373,41.2314548777767,3124,3126,"HI"
16,0.00268419777881429,0.00249524063553619,0.102005611631344,14.2053257804891,0.000165694860996031,1,4561.80567655013,-9117.61135310025,-9097.89630897015,54.9183542770145,5278,5280,"ID"
17,0.00127138246741187,0.00123293877760344,0.106056921204768,33.0712913809293,8.98364520098107e-09,1,21431.188948937,-42856.3778978741,-42831.8825355322,292.213624440049,25979,25981,"IL"
18,0.00935585655193697,0.00929652233155798,0.0851095402083825,157.68061823638,5.28611349675536e-36,1,17448.36640211,-34890.73280422,-34867.5636715278,120.939710500516,16696,16698,"IN"
19,0.000274736078426917,0.000175399307369539,0.101519021478648,2.76570373188589,0.096335465103343,1,8744.03136762143,-17482.0627352429,-17460.4119791808,103.72070837003,10064,10066,"IA"
20,0.00379216795739449,0.00365279920640904,0.0950126534262133,27.2095999324532,1.8767755640255e-07,1,6684.86782385336,-13363.7356477067,-13343.1110447996,64.5278860156693,7148,7150,"KS"
21,0.000821919904799907,0.000734380209680308,0.0845110029939485,9.38911089051543,0.00218787124884927,1,12009.8901268927,-24013.7802537853,-23991.7519403078,81.5200392830708,11414,11416,"KY"
22,7.43556794718755e-05,-1.09476513865392e-05,0.0822203556337697,0.871662087796133,0.350514813690369,1,12656.0479328569,-25306.0958657138,-25283.9876858083,79.2429106137316,11722,11724,"LA"
23,0.0017126276252196,0.00139049552700254,0.0775533813561611,5.31653826085163,0.0211896546812302,1,3529.47396285523,-7052.94792571045,-7034.82948595315,18.6390190483401,3099,3101,"ME"
24,1.31030994467173e-06,-6.64494603284105e-05,0.119923881510459,0.0193375795016882,0.88940492963581,1,10361.9226568765,-20717.8453137531,-20695.0462854586,212.245679907738,14758,14760,"MD"
25,0.00240650856507449,0.00230998282811901,0.121845355389037,24.9312633187596,6.03812925374542e-07,1,7092.84453182111,-14179.6890636422,-14157.9586087305,153.436413659817,10335,10337,"MA"
26,0.000534325229649772,0.000493978641777582,0.102762417507153,13.2433808614043,0.000274100068384731,1,21217.3805088065,-42428.761017613,-42404.4083676277,261.595155202825,24772,24774,"MI"
27,0.000189687672622211,0.000118364351725742,0.100134338962688,2.65954627796186,0.10295255686694,1,12370.9031566098,-24735.8063132195,-24713.1615927378,140.556885698033,14018,14020,"MN"
28,0.000645301288171119,0.000545535420275245,0.0488402832830394,6.46815691359854,0.0109973417697354,1,16034.0180277113,-32062.0360554227,-32040.3993397149,23.8942840572852,10017,10019,"MS"
29,0.00269687105670646,0.00262281572671896,0.0850669676591565,36.4169744049113,1.63491410931633e-09,1,14081.1956109883,-28156.3912219766,-28133.8667838938,97.4524504842118,13467,13469,"MO"
30,0.000119491123832922,-0.000211704804910617,0.107535415642167,0.36078681367342,0.548114672070383,1,2451.02077165463,-4896.04154330926,-4878.0015137651,34.91131029873,3019,3021,"MT"
31,0.0045163000575624,0.00427860098880817,0.0943420933748322,19.0000746794398,1.33849110976445e-05,1,3947.51631558354,-7889.03263116707,-7870.01126312832,37.2750032788632,4188,4190,"NE"
32,0.0020403812112206,0.00192860258008387,0.0882325837150044,18.2537680992411,1.95348617310492e-05,1,9009.94507252718,-18013.8901450544,-17992.5986300327,69.5043802655375,8928,8930,"NV"
33,8.06145805991669e-05,-0.000171635516630797,0.0438557353520428,0.319581960460807,0.571890973087452,1,6774.57623288679,-13543.1524657736,-13524.2959258463,7.62406237423601,3964,3966,"NH"
34,0.00013250703492774,6.03665231697637e-05,0.12390625485786,1.83679089181333,0.175349626297932,1,9278.71850278723,-18551.4370055745,-18528.826285887,212.789253501607,13860,13862,"NJ"
35,0.000782588316893505,0.000600780199775053,0.0598525350014633,4.3044740207257,0.0380586765447898,1,7681.33758917056,-15356.6751783411,-15336.8387593349,19.6884633997732,5496,5498,"NM"
36,0.00079740726855827,0.00076959214752903,0.127660013851121,28.6681214768603,8.64328082439591e-08,1,22973.1032342091,-45940.2064684181,-45914.7389022853,585.439973819355,35923,35925,"NY"
37,0.0071955766312787,0.00715125698379104,0.111157131715073,162.356359745398,4.65098155815347e-37,1,17427.6652160857,-34849.3304321714,-34825.279581699,276.784693565066,22401,22403,"NC"
38,0.00446832860835928,0.00395569643977445,0.0924497164616654,8.71644208496509,0.00319136463364169,1,1871.42372065502,-3736.84744131003,-3720.12993235497,16.5981770434018,1942,1944,"ND"
39,0.000398651340283269,0.000360334821245312,0.109595900879528,10.404163799153,0.00125886376247158,1,20664.717638001,-41323.435276002,-41298.9273538676,313.349789740562,26088,26090,"OH"
40,0.000508363570949877,0.000422459691583499,0.0824309595423632,5.91781855137283,0.0150034743012259,1,12532.3693644338,-25058.7387288677,-25036.6528939994,79.0582320646544,11635,11637,"OK"
41,7.90731897500124e-05,-1.14419661123577e-05,0.114949938930423,0.873590604764041,0.349983621133041,1,8224.99205601418,-16443.9841120284,-16422.053826413,145.969407018813,11047,11049,"OR"
42,0.00101997590924966,0.000989178362494791,0.104037570994108,33.1187388841376,8.74787380457463e-09,1,27381.6132873032,-54757.2265746064,-54732.0652245616,351.092125377273,32437,32439,"PA"
44,0.00195568971874384,0.00144544211635056,0.161117166616798,3.8328249061256,0.0504001538944232,1,797.28955018401,-1588.57910036802,-1571.84006389875,50.7752981365903,1956,1958,"RI"
45,0.000127032594071854,4.6534005600174e-05,0.0902134858960087,1.57807231758663,0.209062205673523,1,12258.0017039827,-24510.0034079654,-24487.7214933487,101.087973598904,12421,12423,"SC"
46,0.000595862084372484,0.000122210834175407,0.0935939295009982,1.25801860361327,0.26215410122545,1,2007.08625075284,-4008.17250150567,-3991.2063295712,18.4832278792138,2110,2112,"SD"
47,0.00121911762565267,0.00116991174909453,0.0807281704747158,24.7758542461,6.492646994339e-07,1,22284.9018937373,-44563.8037874746,-44540.0486589795,132.282827341338,20298,20300,"TN"
48,2.69241480428368e-05,1.06900282667022e-05,0.0876057812707488,1.65849140046261,0.197811973168346,1,62583.7208787957,-125161.441757591,-125134.356554845,472.742987064055,61597,61599,"TX"
49,0.000659267204352812,0.000532672229334286,0.0861235074699537,5.20768856944541,0.0225137011370127,1,8157.83932588691,-16309.6786517738,-16288.7563170305,58.5518389062911,7894,7896,"UT"
50,0.00164430933903881,0.000966078570926787,0.136747646450503,2.42440982678497,0.119673184556889,1,842.182284479193,-1678.36456895839,-1662.47736374014,27.5262804879546,1472,1474,"VT"
51,0.0018239869472063,0.0017733540967928,0.118571554982135,36.0237855919336,1.98332836931707e-09,1,14064.4253729581,-28122.8507459163,-28099.1831886128,277.163337913479,19714,19716,"VA"
53,0.00346660903233387,0.00341844172647243,0.115749727655179,71.9701666998959,2.32954887556744e-17,1,15258.2621683598,-30510.5243367195,-30486.7119744132,277.191210667563,20689,20691,"WA"
54,0.00522347487839113,0.00502206234040348,0.0868069531038667,25.9342091141726,3.66387305305079e-07,1,5066.16764329972,-10126.3352865994,-10106.8193175429,37.2175732623468,4939,4941,"WV"
55,0.000769613601349999,0.000717000375444421,0.0930335675584862,14.627759239307,0.000131389776819571,1,18156.5360633119,-36307.0721266238,-36283.5164913674,164.380407202988,18992,18994,"WI"
56,0.00343755301301775,0.00279211101367383,0.0555845084550747,5.32588988090651,0.0211425404418552,1,2275.03092134774,-4544.06184269547,-4528.03156400803,4.77040042381686,1544,1546,"WY"
