"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.0170682339296006,0.00067427736977437,25.3133720553488,1.54564598359842e-138,"AL"
1,"EJB1_UNION",-0.0101395825857709,0.00179723500973967,-5.64176778819793,1.71281531162867e-08,"AL"
2,"(Intercept)",0.0205234194935623,0.00282339805852879,7.26904923362333,5.75084420604933e-13,"AK"
2,"EJB1_UNION",-0.00540605602843904,0.00808128998625948,-0.668959539582281,0.503622209206212,"AK"
4,"(Intercept)",0.0158177218464023,0.00064416261730626,24.5554793485975,1.44630553087455e-130,"AZ"
4,"EJB1_UNION",-0.00201170892228682,0.00233676338766258,-0.860895430366653,0.389309459853187,"AZ"
5,"(Intercept)",0.0138641851739872,0.000804909710161542,17.224522202875,2.75049132740737e-65,"AR"
5,"EJB1_UNION",-0.0122535364141008,0.00347908919916502,-3.52205296059717,0.000430659252056207,"AR"
6,"(Intercept)",0.0270134512779693,0.000391100479788818,69.0703608764573,0,"CA"
6,"EJB1_UNION",-0.00457617534809199,0.00087978545917838,-5.20146735815072,1.98117964140977e-07,"CA"
8,"(Intercept)",0.0265660559281844,0.000886700407593454,29.9605771021194,8.52198572433669e-192,"CO"
8,"EJB1_UNION",-0.0164592000063834,0.00288274278599231,-5.70956246473364,1.15332997691254e-08,"CO"
9,"(Intercept)",0.0370556981242358,0.00136048076782333,27.2372083462247,1.50209865191754e-157,"CT"
9,"EJB1_UNION",-0.016277766605599,0.00311140468838303,-5.23164558643718,1.71467657444797e-07,"CT"
10,"(Intercept)",0.0290607211395988,0.00226837061084817,12.8112756357449,4.4232656899744e-36,"DE"
10,"EJB1_UNION",0.000983355727963631,0.00732113466570115,0.134317393801068,0.893166030492049,"DE"
11,"(Intercept)",0.0424610472621511,0.00316629740331491,13.4103155369098,9.25066735648028e-39,"DC"
11,"EJB1_UNION",-0.0344578244028139,0.0069507829206263,-4.95740189217549,7.97705610297706e-07,"DC"
12,"(Intercept)",0.019630350846943,0.000486020433414568,40.3899702508982,0,"FL"
