"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.0052684711634521,0.00520373107045924,0.302104786186752,81.3788012943773,2.08014200064707e-19,1,-3409.81600517635,6825.6320103527,6848.55194324886,1402.32209272463,15365,15367,"AL"
2,0.018830205395715,0.0181889179482613,0.264189168262639,29.3631279864903,6.96142417590364e-08,1,-133.583474233023,273.166948466046,289.169936516947,106.787752439777,1530,1532,"AK"
4,0.000285444411543196,0.000218502228900408,0.29888385587677,4.26404398951347,0.0389443672553881,1,-3154.0553351809,6314.1106703618,6336.94525941746,1334.07750664244,14934,14936,"AZ"
5,0.00671059665354226,0.00658367493065104,0.314887798510152,52.8719316180038,3.90422050428712e-13,1,-2060.89221023443,4127.78442046886,4148.68080745441,775.981752541362,7826,7828,"AR"
6,0.00170624445373447,0.00169604946031598,0.311884578174728,167.361015714514,2.99891655517365e-38,1,-24853.2126283284,49712.4252566569,49740.901036224,9524.8732709081,97920,97922,"CA"
8,0.0016333196637152,0.0015691861325059,0.284435124643302,25.4674837470439,4.54973669098249e-07,1,-2516.32739664561,5038.65479329122,5061.61390440129,1259.42229581696,15567,15569,"CO"
9,0.000191846477344808,9.01469398081334e-05,0.252786758385761,1.88640461885778,0.169639322720263,1,-428.992419091442,863.984838182885,885.565336247225,628.212158610445,9831,9833,"CT"
10,0.0123241359295274,0.0117968129908887,0.259998149165485,23.3711356485652,1.4446184679795e-06,1,-133.732778696671,273.465557393342,290.074649208556,126.612997367632,1873,1875,"DE"
11,0.0115202818366693,0.010844629261028,0.219467482466736,17.0506000450505,3.84538129833348e-05,1,144.003241683542,-282.006483367085,-266.137651802731,70.4668226835999,1463,1465,"DC"
12,0.00191700072083425,0.00189200427716485,0.316497765741738,76.6909383663206,2.07605906457566e-18,1,-10720.450974398,21446.901948796,21472.6866735267,3999.72129944439,39929,39931,"FL"
13,1.81816662998943e-05,-2.2662258804651e-05,0.311529632375367,0.445149829585968,0.504653555888388,1,-6185.81383386093,12377.6276677219,12401.9451156143,2376.09257817291,24483,24485,"GA"
15,0.0019923308672586,0.00167286618443752,0.296928958536975,6.23646673449362,0.0125656723878871,1,-638.817379783127,1283.63475956625,1301.7772880992,275.433103249372,3124,3126,"HI"
16,0.013194604564576,0.0130076387829473,0.293385609778032,70.5722964365263,5.64297317329423e-17,1,-1016.30307230553,2038.60614461106,2058.32118874116,454.304462379041,5278,5280,"ID"
17,0.000401195003063201,0.000362717817451896,0.282946711706936,10.4268281759409,0.00124352117745609,1,-4063.51530990312,8133.03061980623,8157.52598214812,2079.84864763499,25979,25981,"IL"
18,0.00935961260493022,0.00930027860951843,0.268761420514552,157.744519646356,5.12040412656314e-36,1,-1752.41229803224,3510.82459606449,3533.99372875675,1205.99717851727,16696,16698,"IN"
19,0.00308362658639242,0.00298456891812793,0.246143423311424,31.1296100586542,2.47606922631022e-08,1,-171.10476355488,348.20952710976,369.860283171769,609.743389824392,10064,10066,"IA"
20,0.00378290139784523,0.0036435313504749,0.267882206467786,27.1428579470672,1.94244201444544e-07,1,-726.373721666143,1458.74744333229,1479.37204623935,512.946745522569,7148,7150,"KS"
21,0.000562292932730313,0.000474730491249131,0.291113258892109,6.42162236705745,0.0112871686090212,1,-2109.76866977927,4225.53733955854,4247.56565303601,967.301453344778,11414,11416,"KY"
22,0.00030040578375419,0.000215121737156654,0.29586770212246,3.52241475093058,0.0605689964274881,1,-2356.64538968,4719.29077936001,4741.3989592655,1026.11688610043,11722,11724,"LA"
23,0.0123616730476678,0.0120429772338724,0.273610363974508,38.7883132208291,5.36054808810004e-10,1,-380.07635546353,766.15271092706,784.271150684362,231.999294318941,3099,3101,"ME"
24,0.000134562085909232,6.68113447577223e-05,0.240668329463228,1.98613452225265,0.158766707082725,1,80.6595877533316,-155.319175506663,-132.5201472122,854.80173085611,14758,14760,"MD"
25,0.00247306083729604,0.00237654153984446,0.232367029367789,25.6224496301906,4.22330689514684e-07,1,419.63413585241,-833.26827170482,-811.537816793115,558.032499545076,10335,10337,"MA"
26,0.0012592693834826,0.00121895206027023,0.270542565894129,31.2339531285309,2.31135245899179e-08,1,-2764.09299392962,5534.18598785925,5558.53863784459,1813.14393118346,24772,24774,"MI"
27,0.000162465840307482,9.11405774911556e-05,0.212340024161788,2.277816216756,0.131259081973647,1,1832.40278635524,-3658.80557271048,-3636.16085222871,632.047591199901,14018,14020,"MN"
28,4.27229031353428e-05,-5.71031203344674e-05,0.317100816905434,0.427973604981599,0.512999966809927,1,-2708.16767679917,5422.33535359834,5443.97206930612,1007.23868059833,10017,10019,"MS"
29,0.00358863668444825,0.00351464757304143,0.298388419347167,48.5022271009163,3.45219346657053e-12,1,-2821.82368770645,5649.64737541291,5672.1718134957,1199.04308239634,13467,13469,"MO"
