year,MONTHCODE,Mean_prob_higher_unemploy_us_oneYear
2017,1,37.25
2017,2,35.75
2017,3,35.54
2017,4,36.48
2017,5,37.46
2017,6,36.26
2017,7,35.97
2017,8,35.38
2017,9,35.74
2017,10,36.00
2017,11,33.66
2017,12,33.45
2018,1,32.38
2018,2,32.25
2018,3,34.35
2018,4,34.94
2018,5,34.13
2018,6,34.27
2018,7,34.18
2018,8,35.31
2018,9,34.05
2018,10,35.14
2018,11,35.76
2018,12,38.83
2019,1,40.64
2019,2,37.19
2019,3,37.16
2019,4,35.74
2019,5,36.74
2019,6,36.31
2019,7,36.06
2019,8,38.29
2019,9,38.42
2019,10,36.79
2019,11,34.62
2019,12,34.57
2020,1,34.76
2020,2,34.15
2020,3,50.86
2020,4,47.57
2020,5,38.92
2020,6,35.11
2020,7,39.31
2020,8,39.11
2020,9,36.42
2020,10,35.39
2020,11,40.10
2020,12,38.88
