"Ast_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TVAL_BANK_log",0.00216531883839344,0.0021644900452007,3.23983296308565,2612.61658189328,0,1,-3123633.21468819,6247272.42937638,6247308.4327639,12637397.8607629,1203961,1203963
"TVAL_STMF_log",0.00010715722290656,0.000106326720221928,3.72482551178461,129.026943416741,6.71392388992197e-30,1,-3291583.92745714,6583173.85491429,6583209.85830181,16704146.3135841,1203961,1203963
"TVAL_BOND_log",9.06200272369011e-05,8.9789510816618e-05,1.69579876539701,109.112866423094,1.53689591252157e-25,1,-2344226.22049192,4688458.44098384,4688494.44437136,3462270.92347268,1203961,1203963
"TVAL_RENT_log",8.74816712457167e-05,8.66511522187308e-05,2.47091931392341,105.333735165855,1.03446618574791e-24,1,-2797441.71242342,5594889.42484683,5594925.42823435,7350714.36387939,1203961,1203963
"TVAL_RE_log",0.000330036253099207,0.000329205935536092,2.47550167928431,397.481960774583,2.0109470407747e-88,1,-2799672.41617178,5599350.83234356,5599386.83573108,7378003.7149899,1203961,1203963
"TVAL_OTH_log",0.00122612960841694,0.00122530003514143,3.16005769040702,1478.02447905501,3.45845952088873e-323,1,-3093616.62321503,6187239.24643006,6187275.24981758,12022711.9338478,1203961,1203963
"TVAL_RET_log",0.0033330985501235,0.00333227072687892,5.44694051467537,4026.34085436924,0,1,-3749130.88567179,7498267.77134357,7498303.77473109,35720512.7110982,1203961,1203963
"TVAL_BUS_log",9.62747039778428e-06,8.79688670574197e-06,1.35522012160692,11.5912104816225,0.000662664252658328,1,-2074309.77316783,4148625.54633566,4148661.54972318,2211220.75168043,1203961,1203963
"TVAL_HOME_log",0.00635393085069203,0.00635310553652568,5.96240321437446,7698.80260028537,0,1,-3857992.67365378,7715991.34730756,7716027.35069508,42801117.0574711,1203961,1203963
"TVAL_VEH_log",0.0026604354530878,0.00265960707113488,4.37640642540877,3211.60479579508,0,1,-3485672.30874281,6971350.61748562,6971386.62087314,23059384.6088376,1203961,1203963
"TVAL_ESAV_log",8.78818219162174e-06,7.95759780247707e-06,1.71123685585455,10.5807216049163,0.00114276192059907,1,-2355137.18179598,4710280.36359197,4710316.36697949,3525597.01357782,1203961,1203963
