"Ast_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TVAL_BANK_proportion",0.00344550737903048,0.00344467964915174,0.336777874637186,4162.59877435791,0,1,-398037.404772676,796080.809545352,796116.812932872,136552.458207411,1203961,1203963
"TVAL_STMF_proportion",0.000178587094112353,0.0001777566507567,0.10846014234399,215.050301623057,1.097242348573e-48,1,966101.836257428,-1932197.67251486,-1932161.66912734,14162.9186021468,1203961,1203963
"TVAL_BOND_proportion",2.68165003741919e-05,2.59859309591493e-05,0.0386173471379412,32.2868864283145,1.33038519357132e-08,1,2209411.75643966,-4418817.51287932,-4418781.5094918,1795.4664372861,1203961,1203963
"TVAL_RENT_proportion",0.000104449550311217,0.00010361904537759,0.0875904646767627,125.766321277944,3.47064357670279e-29,1,1223401.5064464,-2446797.0128928,-2446761.00950528,9236.89654926804,1203961,1203963
"TVAL_RE_proportion",0.000190016810596001,0.00018918637673393,0.0762879099041102,228.816308247077,1.09207130607877e-51,1,1389738.2296424,-2779470.45928481,-2779434.45589729,7006.86664387262,1203961,1203963
"TVAL_OTH_proportion",0.00045361352208658,0.000452783307165694,0.102184651244962,546.380835400027,8.20960340286597e-121,1,1037859.56110686,-2075713.12221372,-2075677.1188262,12571.4031254505,1203961,1203963
"TVAL_RET_proportion",0.000909075249441667,0.000908245412823416,0.27600804931835,1095.48702653495,4.05613208152848e-240,1,-158456.523896123,316919.047792246,316955.051179766,91718.2826820906,1203961,1203963
"TVAL_BUS_proportion",8.72924389147874e-07,4.2333425653851e-08,0.049899164109469,1.05096783789832,0.305284496352515,1,1900832.82728468,-3801659.65456936,-3801623.65118184,2997.77449376718,1203961,1203963
"TVAL_HOME_proportion",0.00604189554494351,0.00604106997160314,0.35529484624052,7318.4237540614,0,1,-462478.814273979,924963.628547959,924999.631935479,151981.327886467,1203961,1203963
"TVAL_VEH_proportion",0.00135141481152993,0.00135058534231525,0.283660842854374,1629.25252389691,0,1,-191384.044764794,382774.089529588,382810.092917108,96874.8843422232,1203961,1203963
"TVAL_ESAV_proportion",3.19597268664404e-05,3.112916172332e-05,0.0370103340680929,38.479494511981,5.53498928773532e-10,1,2260585.49395941,-4521164.98791881,-4521128.98453129,1649.14343188124,1203961,1203963
