Ast_var,term,estimate,std.error,statistic,p.value
TVAL_BANK_proportion,(Intercept),0.21946623,0.000327841,669.4280238,0
TVAL_BANK_proportion,EJB1_UNION,-0.060185628,0.000932847,-64.51820498,0
TVAL_STMF_proportion,(Intercept),0.027413758,0.000105582,259.6439084,0
TVAL_STMF_proportion,EJB1_UNION,-0.004405621,0.000300426,-14.66459347,1.10E-48
TVAL_BOND_proportion,(Intercept),0.003222778,3.76E-05,85.7289961,0
TVAL_BOND_proportion,EJB1_UNION,-0.000607803,0.000106967,-5.682155087,1.33E-08
TVAL_RENT_proportion,(Intercept),0.014673893,8.53E-05,172.0950049,0
TVAL_RENT_proportion,EJB1_UNION,0.002720859,0.000242618,11.21455845,3.47E-29
TVAL_RE_proportion,(Intercept),0.011721699,7.43E-05,157.839097,0
TVAL_RE_proportion,EJB1_UNION,0.003196437,0.000211311,15.12667539,1.09E-51
TVAL_OTH_proportion,(Intercept),0.020080703,9.95E-05,201.8705591,0
TVAL_OTH_proportion,EJB1_UNION,0.006616074,0.000283043,23.3747906,8.21E-121
TVAL_RET_proportion,(Intercept),0.191528986,0.000268684,712.840721,0
TVAL_RET_proportion,EJB1_UNION,0.025304184,0.00076452,33.09814234,4.06E-240
TVAL_BUS_proportion,(Intercept),0.004161211,4.86E-05,85.6655563,0
TVAL_BUS_proportion,EJB1_UNION,-0.000141695,0.000138217,-1.025167224,0.305284496
TVAL_HOME_proportion,(Intercept),0.288314592,0.000345867,833.5995169,0
TVAL_HOME_proportion,EJB1_UNION,0.084190803,0.000984138,85.54778638,0
TVAL_VEH_proportion,(Intercept),0.164187051,0.000276134,594.5922603,0
TVAL_VEH_proportion,EJB1_UNION,-0.031714696,0.000785717,-40.36400035,0
TVAL_ESAV_proportion,(Intercept),0.003125351,3.60E-05,86.74720525,0
TVAL_ESAV_proportion,EJB1_UNION,-0.000635923,0.000102516,-6.203184224,5.53E-10
