"Ast_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TVAL_BANK",1.60262940224616e-06,7.72039044916184e-07,61159.9518677723,1.92950639004136,0.164812715338585,1,-14977523.1462376,29955052.2924752,29955088.2958627,4503463932762956,1203961,1203963
"TVAL_STMF",0.00011705736399351,0.000116226869531832,181721.624223813,140.949000129404,1.65771915200756e-32,1,-16288618.849196,32577243.698392,32577279.7017795,39758101560291296,1203961,1203963
"TVAL_BOND",6.24571372319912e-09,-8.24345969707707e-07,47293.1231701562,0.00751959578686179,0.930897588234692,1,-14667950.9131754,29335907.8263508,29335943.8297384,2692826728081356,1203961,1203963
"TVAL_RENT",0.00013103210224166,0.00013020161938726,122002.376005356,157.778214858152,3.47836673806533e-36,1,-15808917.2987786,31617840.5975572,31617876.6009447,17920453521536210,1203961,1203963
"TVAL_RE",5.47798083155572e-05,5.39492621266513e-05,113946.46301689,65.9563658764865,4.61446183224999e-16,1,-15726672.4136143,31453350.8272287,31453386.8306162,15631984538546664,1203961,1203963
"TVAL_OTH",7.9479668986284e-06,7.11738181158328e-06,106581.461715777,9.56911823027449,0.00197882329982288,1,-15646224.660716,31292455.3214321,31292491.3248196,13676524984980692,1203961,1203963
"TVAL_RET",1.80320331698139e-05,1.72014564585599e-05,371219.392871942,21.7102561672216,3.17125297358233e-06,1,-17148630.405755,34297266.8115099,34297302.8148974,165910446173964960,1203961,1203963
"TVAL_BUS",5.86659347666109e-06,5.03600666090787e-06,1106587.86835795,7.06319118562569,0.0078684753508067,1,-18463650.9550173,36927307.9100346,36927343.9134222,1474294442386283520,1203961,1203963
"TVAL_HOME",0.00302966213119793,0.00302883405592158,190109.960755895,3658.67961221049,0,1,-16342949.6861756,32685905.3723511,32685941.3757387,43513314272953872,1203961,1203963
"TVAL_VEH",0.00172942131705474,0.00172859216180921,14657.398657687,2085.76298126466,0,1,-13257604.98314,26515215.9662801,26515251.9696676,258658181099996,1203961,1203963
"TVAL_ESAV",4.14797249802342e-05,4.06491677443777e-05,13383.8670963277,49.942042749126,1.58440254158621e-12,1,-13148170.5227969,26296347.0455938,26296383.0489813,215663003748363,1203961,1203963
