year,MONTHCODE,Much_harder,Somewhat_harder,Equally_easy/hard,Somewhat_easier,Much_easier,Harder_side_ahead,Easier_side_ahead
2017,1,7.17,26.26,44.85,19.54,2.18,0.3343,0.2172
2017,2,5.8,26.33,46.87,18.26,2.74,0.3213,0.21
2017,3,5.82,27.5,44.73,18.6,3.35,0.3332,0.2195
2017,4,5.3,24.97,47.74,18.66,3.33,0.3027,0.2199
2017,5,6.32,24.96,48.58,17.56,2.59,0.3128,0.2015
2017,6,4.84,25.14,48.21,18.48,3.31,0.2998,0.2179
2017,7,5.06,24.71,46.72,21.36,2.15,0.2977,0.2351
2017,8,4.55,26.18,46.56,19.77,2.94,0.3073,0.2271
2017,9,5.89,24.02,49.6,18.19,2.3,0.2991,0.2049
2017,10,4.87,23.33,50.9,18.19,2.71,0.282,0.209
2017,11,4.88,23.79,50.05,18.79,2.49,0.2867,0.2128
2017,12,6.25,22.99,49.34,18.62,2.8,0.2924,0.2142
2018,1,4.05,21.44,49.85,21.6,3.06,0.2549,0.2466
2018,2,4.14,23.44,49.77,19.52,3.14,0.2758,0.2266
2018,3,3.61,23.53,53.48,15.99,3.39,0.2714,0.1938
2018,4,4.27,24.87,49.8,18.65,2.4,0.2914,0.2105
2018,5,5.12,25.29,48.87,18.5,2.22,0.3041,0.2072
2018,6,5.5,25.12,47.69,18.56,3.13,0.3062,0.2169
2018,7,5.87,24.66,49.82,16.84,2.81,0.3053,0.1965
2018,8,4.64,25.84,48.47,18.22,2.83,0.3048,0.2105
2018,9,3.98,27.09,47.86,18.48,2.59,0.3107,0.2107
2018,10,5.09,25.56,46.78,20.21,2.37,0.3065,0.2258
2018,11,5.97,25.37,46.12,19.7,2.84,0.3134,0.2254
2018,12,6.34,28.53,43.36,18.59,3.18,0.3487,0.2177
2019,1,6.13,29.92,45.84,14.73,3.38,0.3605,0.1811
2019,2,4.15,28.39,48.47,16.87,2.13,0.3254,0.19
2019,3,4.82,27.43,48.52,16.86,2.38,0.3225,0.1924
2019,4,5.05,25.07,50.41,16.03,3.44,0.3012,0.1947
2019,5,4.7,26.59,50.99,15.28,2.45,0.3129,0.1773
2019,6,5.17,24.23,49.93,16.8,3.87,0.294,0.2067
2019,7,5.49,25.87,49.83,16.16,2.65,0.3136,0.1881
2019,8,5.5,28.39,48.18,15.51,2.42,0.3389,0.1793
2019,9,5.44,26.25,47.72,18.33,2.27,0.3169,0.206
2019,10,4.96,25.26,51.39,16.02,2.37,0.3022,0.1839
2019,11,5.75,25.14,49.11,16.72,3.28,0.3089,0.2
2019,12,5.66,21.76,52.44,17.9,2.24,0.2742,0.2014
2020,1,4.67,25.13,50.61,15.88,3.7,0.298,0.1958
2020,2,4.58,23.68,53.32,16.83,1.59,0.2826,0.1842
2020,3,9.36,29.45,38.91,18.51,3.77,0.3881,0.2228
2020,4,10.81,35.84,31.58,19.25,2.52,0.4665,0.2177
2020,5,9.5,35.52,36.28,16.63,2.07,0.4502,0.187
2020,6,8.48,33.31,41.5,15.56,1.15,0.4179,0.1671
2020,7,7.23,36.37,38.81,15.28,2.31,0.436,0.1759
2020,8,8.75,36.1,40.82,13.79,0.54,0.4485,0.1433
2020,9,7.58,33.62,43.2,14.39,1.2,0.412,0.1559
2020,10,10,33.25,42.01,13.59,1.15,0.4325,0.1474
2020,11,9.22,33.31,41.09,15.29,1.09,0.4253,0.1638
2020,12,8.83,32.68,45.13,12.49,0.86,0.4151,0.1335
