"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000185075448663799,0.000119552483557883,1253.71677135946,2.82458903324352,0.0928511186333023,1,-130523.377927616,261052.755855232,261075.655022733,23984183829.2018,15259,15261,"AL"
2,0.0010461345053896,0.00038105203834915,227.909890041581,1.57293953341597,0.209975780920288,1,-10298.2241873614,20602.4483747228,20618.3960252364,78018262.8041058,1502,1504,"AK"
4,0.000104531524599743,3.70530883414544e-05,956.58590462745,1.54911006235558,0.213286552497217,1,-122742.821231361,245491.642462721,245514.453661418,13559308594.0652,14818,14820,"AZ"
5,0.00219822135763275,0.00207026524341858,62.5811191307073,17.1794944784962,3.43686508639059e-05,1,-43331.1366767663,86668.2733535326,86689.1589905706,30540059.6859406,7798,7800,"AR"
6,2.40425132111371e-06,-7.88230818415947e-06,1060.33619237341,0.233727449870278,0.628774737995411,1,-815182.364199817,1630370.72839963,1630399.18247139,109298948511.067,97214,97216,"CA"
8,0.00015969348734938,9.49118165892715e-05,149.689297556258,2.46510294463623,0.116420575395229,1,-99213.8950208228,198433.790041646,198456.723414813,345827875.481741,15434,15436,"CO"
9,0.0050938943010814,0.00499199896047331,3495.68693904886,49.9914350418212,1.65003932826984e-12,1,-93539.9327240956,187085.865448191,187107.425434925,119314392544.87,9764,9766,"CT"
10,0.00437308217183967,0.003839520050817,6.97750534740276,8.1960131717343,0.00424511670629471,1,-6278.52427815378,12563.0485563076,12579.6464271639,90847.2939090817,1866,1868,"DE"
11,0.00292009705144799,0.00223856601730688,40.6318631813242,4.28461347343879,0.0386339747599919,1,-7504.91377745482,15015.8275549096,15031.696386474,2415337.3710721,1463,1465,"DC"
12,0.000126345426492074,0.00010115651971343,222.199558160447,5.01591544257871,0.0251208601343564,1,-270832.354982219,541670.709964437,541696.477057129,1959847089.55567,39695,39697,"FL"
13,1.99593052081012e-05,-2.11059504566791e-05,425.76940421011,0.48603874211807,0.485706327775389,1,-181984.985495978,363975.970991955,364000.272222928,4414339188.00643,24351,24353,"GA"
15,0.00299213892093259,0.00267248266537667,15.2508949429449,9.36048917837833,0.00223597894931119,1,-12931.102620449,25868.2052408981,25886.3429671249,725447.575472958,3119,3121,"HI"
16,0.000209393416153178,1.77892370456512e-05,2756.29082861826,1.09284367975871,0.295890423397186,1,-48756.8257661381,97519.6515322763,97539.3322903189,39641871990.3854,5218,5220,"ID"
17,0.000942728051097737,0.000904081295771131,190.318507625337,24.3934592472233,7.90245158067172e-07,1,-172377.43374239,344760.867484779,344785.348030561,936352543.945755,25851,25853,"IL"
18,2.98054308132957e-05,-3.03178372584867e-05,3958.94552649865,0.495738700992288,0.481388365578103,1,-161393.238016979,322792.476033957,322815.633646175,260677488707.426,16632,16634,"IN"
